term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09
abilities,2.0999462619572054,0.10000000027227911,0.100000000201396,0.10000661811053214,0.10000000017437469,0.10004742122616983,1.1000019796166323,2.099965086672862,0.10000000015964274,0.10003263159013064
ability,26.682875847581094,0.1000103249246464,0.10002020983047788,3.7665639490296052,0.10001105462917964,71.01815216950276,2.937931293594058,0.10000804199191574,0.10002233230391926,7.094404776594748
ability castings,0.10000132520583856,0.10001086194709495,0.10000099724895538,0.10000000006604806,0.10000000008120083,0.10002694790593185,0.10000454195730507,0.10000214755295178,0.10000123067166092,5.099951947353214
ability needs,0.10000000003140094,0.10000000006049087,0.10000000004470166,0.10000000003158785,0.10001046391446787,5.099989535779366,0.10000000004187362,0.1000000000399106,0.10000000003540653,0.10000000001437527
aboveimage,0.10000007975027757,0.100000142548881,0.10000000003426893,0.10000035836466686,0.10000000002968988,0.10000045660865946,0.10000000003209683,0.10000000003062721,12.099997186349672,0.10000177624927682
aboveimage alloys,0.10000009634679219,0.10000017221376614,0.10000000003485014,0.10000021648811665,0.10000000003019652,0.10000052646654735,0.10000000003264627,0.1000000000311472,10.099996920376052,0.10000206797794793
abrasion,0.10010989088954028,0.10000324969430954,0.10006725463696517,0.10003950915673197,8.099952357237706,1.2812726599805393,0.10001808788572605,1.1177791284037466,0.10003897454220557,8.900718887543368
abrasion resistance,0.1000452516575559,0.10000306780564579,0.10000000013414308,0.10000000009447516,0.10000000011624413,0.10000208449373744,0.10002527811605873,1.159806847189185,0.10000910389952533,3.0401083664826234
absolute,0.10000000055291237,0.10000000106490156,1.0999999990680775,2.09975578481221,0.10000000068278132,0.10008733386811607,1.0999546335544275,0.10000000070318393,1.1000078594355547,0.10019438620961449
acceptance,0.10000311139352315,7.099913330605738,0.10000994944977738,0.10006836496718917,0.10000000004247933,0.10000380230630365,0.10000044983988897,0.10000000004371434,0.10000000003883366,0.10000099130641421
access,9.35728378992076,18.598795327910818,46.33886351870316,47.46550500070723,20.464110993256607,5.779357145115002,2.6500455774221283,0.10000286850888836,0.10002406860436554,2.146011709830836
access data,0.10000000000488352,0.10001020773805609,0.10000078983128795,5.0999888565375615,0.10000000000602909,0.10000000000147248,0.10000000000651868,0.10000014586433562,0.10000000000550859,0.10000000000223681
